Category,shippedCogs_this_year,shippedCogs_last_year,YoY % shippedCogs,shippedRevenue_this_year,shippedRevenue_last_year,YoY % shippedRevenue,shippedUnits_this_year,shippedUnits_last_year,YoY % shippedUnits,glanceViews_this_year,glanceViews_last_year,YoY % glanceViews
category61,9829.08,12825.0,-23.36,15568.65,22481.72,-30.74973800936939,177,225,-21.333333333333336,9488,5130,84.95126705653021
category62,3853.36,7494.48,-48.58402450870507,12198.43,24975.25,-51.15792634708362,169,373,-54.6916890080429,2598,8542,-69.58557714820886
category63,3253.4,8018.45,-59.42607361771913,5635.29,14535.23,-61.23012845341972,71,152,-53.289473684210535,2365,3250,-27.23076923076923
category64,3920.1,13829.5,-71.65407281535848,6840.1,24228.36,-71.76820882635062,80,288,-72.22222222222221,2720,12859,-78.84749980558364
category65,3230.5,760.75,324.64673020046007,4209.5,1037.31,305.80925663495003,50,9,455.55555555555554,3412,1330,156.54135338345864
category66,696.16,1827.94,-61.91559898027289,1210.78,3115.37,-61.13527446178143,8,25,-68.0,396,2002,-80.21978021978022
category67,1042.46,4701.0,-77.82471814507551,2050.74,7188.39,-71.47149779018667,14,58,-75.86206896551724,763,2325,-67.18279569892474
category68,7735.78,23290.94,-66.78631261769598,27311.78,75960.1,-64.0445707680743,516,1407,-63.32622601279317,14369,25638,-43.95428660581949
category69,3792.51,6489.75,-41.56153935051427,6990.85,17159.1,-59.2586441013806,115,279,-58.78136200716846,2378,7943,-70.06168953795795
category70,40787.12,39415.75,3.479243703341945,67366.06999999999,74665.86,-9.776610086591123,2230,2135,4.449648711943794,27159,28365,-4.251718667371761
category71,199243.23,155339.32,28.26323045575325,326159.87,276003.65,18.172303156135783,11477,8679,32.23873718170296,105279,86764,21.339495643354383
category72,127.81,386.2,-66.90574831693424,251.12,615.2,-59.18075422626789,8,21,-61.90476190476191,281,376,-25.265957446808518
category73,2250.97,3935.69,-42.80621695306287,3257.39,6294.5,-48.250218444673926,99,182,-45.604395604395606,2166,5000,-56.68
category74,393.69,3650.58,-89.21568627450979,1008.21,8473.14,-88.101105375339,33,306,-89.2156862745098,438,2361,-81.44853875476493
category75,282072.6,191791.65,47.07240904387651,432526.38,428819.58,0.8644194838304697,14033,11741,19.521335491014398,171293,99860,71.53314640496696
category76,3074.86,4599.5,-33.14795086422437,5719.41,10991.41,-47.96472882005129,382,666,-42.64264264264264,13293,15098,-11.955225857729502
category77,9098.5,8814.0,3.2278193782618563,14279.78,15652.34,-8.769040284072538,718,747,-3.882195448460509,3926,4704,-16.539115646258505
category78,7224.0,14207.0,-49.15182656436968,10090.17,23257.69,-56.61576880593044,83,166,-50.0,4571,7205,-36.55794587092297
category79,25373.94,34271.96,-25.96297381299465,40292.97,57103.43,-29.43861690970227,1426,1568,-9.056122448979592,14246,16715,-14.77116362548609
category80,2136591.48,1173646.63,82.04725556959166,3572254.63,3114113.96,14.71175030473194,166741,136378,22.263854873953274,860247,741807,15.966417140846607
category81,692.96,2020.32,-65.70048309178745,1561.29,4550.37,-65.68872421363537,71,207,-65.70048309178745,577,1026,-43.76218323586745
category82,354.59,419.59,-15.491312948354349,741.97,881.6999999999999,-15.847794034252004,45,50,-10.0,450,737,-38.94165535956581
